S.No,Project,Sector,State,District,Budget_Outlay_Cr,Amount_Spent_Cr,Implementation_Mode,Year,Company
4,Noida Deaf Society (Nds),Education,Jharkhand,Hazaribagh,0.21,0.21,Nec/ Not mentioned,FY 2015-16,Axis Bank Limited
5,Mitra Jyothi,Education,Karnataka,Bengaluru Rural,0.18,0.18,Nec/ Not mentioned,FY 2015-16,Axis Bank Limited
6,Pratibandhi Kalyan Kendra (Pkk),Education,Karnataka,Bengaluru Rural,0.16,0.15,Nec/ Not mentioned,FY 2015-16,Axis Bank Limited
7,Society Undertaking Poor Peoples Onus For Rehabilitation (Support),Education,Karnataka,Bengaluru Rural,0.25,0.25,Nec/ Not mentioned,FY 2015-16,Axis Bank Limited
8,Jayaprakash Narayan Memorial Trust (Project - Vidya & Child (V&C)),Education,Karnataka,Haveri,0.36,0.36,Nec/ Not mentioned,FY 2015-16,Axis Bank Limited
9,Enable India,Education,Maharashtra,Mumbai City,0.96,0.87,Nec/ Not mentioned,FY 2015-16,Axis Bank Limited
10,Mba Foundation,Education,Maharashtra,Mumbai City,0.38,0.32,Nec/ Not mentioned,FY 2015-16,Axis Bank Limited
11,Tropical Research And Development Centre (Trdc),Education,Maharashtra,Mumbai City,0.33,0.33,Nec/ Not mentioned,FY 2015-16,Axis Bank Limited
12,Lifeline Foundation (Llf),Health Care,Maharashtra,Mumbai City,0.16,0.16,Nec/ Not mentioned,FY 2015-16,Axis Bank Limited
13,Spj Sadhana School,Special Education,Maharashtra,Satara,0.62,0.62,Nec/ Not mentioned,FY 2015-16,Axis Bank Limited
14,Nav Bharat Jagriti Kendra (Nbjk) (Rcc Program),Education,Maharashtra,Thane,0.14,0.12,Nec/ Not mentioned,FY 2015-16,Axis Bank Limited
15,Others,Nec/ Not Mentioned,Pan India,Nec/ Not Mentioned,69.82,142.85,Nec/ Not mentioned,FY 2015-16,Axis Bank Limited
16,Able Disabled All People Together (Adapt),Education,Rajasthan,Jaipur,0.21,0.17,Nec/ Not mentioned,FY 2015-16,Axis Bank Limited
17,Navjeevan Centre,Education,Uttar Pradesh,Bulandshahr,0.08,0.05,Nec/ Not mentioned,FY 2015-16,Axis Bank Limited
18,Godhuli,Education,Uttar Pradesh,Gautam Buddha Nagar,0.03,0.02,Nec/ Not mentioned,FY 2015-16,Axis Bank Limited
19,Noida Deaf Society (Nds),Education,Uttar Pradesh,Gautam Buddha Nagar,0.09,0.1,Nec/ Not mentioned,FY 2015-16,Axis Bank Limited
20,Shishu Sarothi,Education,West Bengal,Hooghly,0.23,0.19,Nec/ Not mentioned,FY 2015-16,Axis Bank Limited
,Grand Total (INR Cr.),,,,75.03,0,,FY 2015-16,Axis Bank Limited
1,Sanitation,Sanitation,Madhya Pradesh,Betul,0.06,0.06,Directly by company,FY 2014-15,Axis Bank Limited
2,Education,Education,Pan India,Nec/ Not Mentioned,1.09,1.09,Directly by company,FY 2014-15,Axis Bank Limited
3,Education,Education,Pan India,Nec/ Not Mentioned,1.82,1.82,Directly by company,FY 2014-15,Axis Bank Limited
4,"Education, Livelihood Enhancement Projects, Vocational Skills, Conservation Of Natural Resources, Ru",Nec/ Not Mentioned,Pan India,Nec/ Not Mentioned,62.18,62.18,By Trusts/Societies/ Section 8 company set up by company itself,FY 2014-15,Axis Bank Limited
5,"Education, Socio-Economic Inequalities, Rural Development",Nec/ Not Mentioned,Pan India,Nec/ Not Mentioned,52.32,52.32,Other implementing agencies,FY 2014-15,Axis Bank Limited
6,"Environmental Sustainability, Conservation Of Natural Resources",Nec/ Not Mentioned,Pan India,Nec/ Not Mentioned,5.75,5.75,Directly by company,FY 2014-15,Axis Bank Limited
,Grand Total (INR Cr.),,,,123.22,0,,FY 2014-15,Axis Bank Limited
1,Namma Shikshana,Education,Karnataka,Bengaluru Rural,0,5.04,Other Implementing agencies,FY 2023-24,Bangalore International Airport Limited
,Grand Total (INR Cr.),,,,0,0,,FY 2023-24,Bangalore International Airport Limited
1,Namma Shikshana,Education,Karnataka,Bengaluru Rural,0,3.59,Other Implementing agencies,FY 2022-23,Bangalore International Airport Limited
2,Namma Arogya,Health Care,Karnataka,Bengaluru Rural,0,0,Other Implementing agencies,FY 2022-23,Bangalore International Airport Limited
,Grand Total (INR Cr.),,,,0,0,,FY 2022-23,Bangalore International Airport Limited
1,Namma Arogya,Health Care,Karnataka,Bengaluru Rural,0,2.19,Other implementing agencies,FY 2021-22,Bangalore International Airport Limited
,Grand Total (INR Cr.),,,,0,0,,FY 2021-22,Bangalore International Airport Limited
1,Namma Shikshana,Education,Karnataka,Bengaluru Rural,9.26,2.66,Other implementing agencies,FY 2020-21,Bangalore International Airport Limited
2,Namma Arogya,Health Care,Karnataka,Bengaluru Rural,0.16,0.25,Other implementing agencies,FY 2020-21,Bangalore International Airport Limited
3,Namma Nela Namma Jala,Safe Drinking Water,Karnataka,Bengaluru Rural,0.3,0.39,Other implementing agencies,FY 2020-21,Bangalore International Airport Limited
4,Namma Ooru,"Poverty, Eradicating Hunger, Malnutrition",Karnataka,Nec/ Not Mentioned,2.51,2.62,Other implementing agencies,FY 2020-21,Bangalore International Airport Limited
5,,Nec/ Not Mentioned,Nec/ Not Mentioned,Nec/ Not Mentioned,0,0,Nec/ Not mentioned,FY 2020-21,Bangalore International Airport Limited
,Grand Total (INR Cr.),,,,12.23,0,,FY 2020-21,Bangalore International Airport Limited
1,Promotion And Conservation Of Gi Tagged Devanahalli Pomelo Flora,Conservation Of Natural Resources,Karnataka,Nec/ Not Mentioned,0.01,0,Directly by company,FY 2019-20,Bangalore International Airport Limited
2,"Construction Of New School Buildings By Demolishing Existing Dilapidated Buildings At, Koracharapaly",Education,Karnataka,Nec/ Not Mentioned,0.76,1.28,Directly by company,FY 2019-20,Bangalore International Airport Limited
3,Learning Improvement Programs In Government Schools,Education,Karnataka,Nec/ Not Mentioned,0.29,0.29,Directly by company,FY 2019-20,Bangalore International Airport Limited
4,Refurbishment Of Discarded Buses Into Clean And Safe Toilets For Women,Sanitation,Karnataka,Nec/ Not Mentioned,0.01,0.01,Directly by company,FY 2019-20,Bangalore International Airport Limited
5,Administrative And Miscellaneous Expenses,Other Central Government Funds,Pan India (Other Centralized Funds),Nec/ Not Mentioned,0.01,0.01,Directly by company,FY 2019-20,Bangalore International Airport Limited
6,Contribution Towards Flood Relief And Rehabilitation In North Karnataka,Prime Minister'S National Relief Fund,Pan India (Other Centralized Funds),Nec/ Not Mentioned,0.35,0.35,By Trusts/Societies/ Section 8 company set up by company itself,FY 2019-20,Bangalore International Airport Limited
,Grand Total (INR Cr.),,,,1.43,0,,FY 2019-20,Bangalore International Airport Limited
1,Infrastructure Development Of Government,Education,Karnataka,Nec/ Not Mentioned,10,12.92,Directly by company,FY 2018-19,Bangalore International Airport Limited
2,Learning Improvement Programs In Government Schools And Anganwadi Centers,Education,Karnataka,Nec/ Not Mentioned,0.35,0.82,Directly by company,FY 2018-19,Bangalore International Airport Limited
3,Augmenting The Medical Services At Taluk Government Hospital By Providing Necessary Medical Equipmen,Health Care,Karnataka,Nec/ Not Mentioned,0.4,0.57,Directly by company,FY 2018-19,Bangalore International Airport Limited
4,Rural Development,Rural Development Projects,Karnataka,Nec/ Not Mentioned,0.09,0.11,Other implementing agencies,FY 2018-19,Bangalore International Airport Limited
5,Installing Household Rainwater Harvesting Unit For Families And Create Awareness On Water Conservati,Sanitation,Karnataka,Nec/ Not Mentioned,1,1.39,Directly by company,FY 2018-19,Bangalore International Airport Limited
6,Administrative And Miscellaneous Expenses,Other Central Government Funds,Pan India (Other Centralized Funds),Nec/ Not Mentioned,0.15,0.12,Directly by company,FY 2018-19,Bangalore International Airport Limited
,Grand Total (INR Cr.),,,,11.99,0,,FY 2018-19,Bangalore International Airport Limited
1,Construction And\X0Arenovation Of\X0Agovernment Schools,Education,Karnataka,Chitradurga,5.45,2.88,Directly by company,FY 2017-18,Bangalore International Airport Limited
2,"Rural Development Projects Like Waste Management, Rainwater Harvesting At 250 Homes, Women Livelihoo",Rural Development Projects,Karnataka,Chitradurga,1.45,1.32,Other implementing agencies,FY 2017-18,Bangalore International Airport Limited
3,Rural Youth Sports Club,Training To Promote Sports,Karnataka,Chitradurga,0.5,0.5,Other implementing agencies,FY 2017-18,Bangalore International Airport Limited
4,Lake Development,Other Central Government Funds,Pan India (Other Centralized Funds),Nec/ Not Mentioned,0.25,0.01,Other implementing agencies,FY 2017-18,Bangalore International Airport Limited
5,Other Csr Activities,Other Central Government Funds,Pan India (Other Centralized Funds),Nec/ Not Mentioned,0.1,0.1,Other implementing agencies,FY 2017-18,Bangalore International Airport Limited
,Grand Total (INR Cr.),,,,7.75,0,,FY 2017-18,Bangalore International Airport Limited
1,Construction And Renovation Of Government Schools,Education,Karnataka,Nec/ Not Mentioned,2.5,1.71,Directly by company,FY 2016-17,Bangalore International Airport Limited
2,Health Camps For Taxi Drivers - Kiab,Education,Karnataka,Nec/ Not Mentioned,0.09,0.08,Directly by company,FY 2016-17,Bangalore International Airport Limited
3,Toilets Construction,Health Care,Karnataka,Nec/ Not Mentioned,1.39,1.39,Directly by company,FY 2016-17,Bangalore International Airport Limited
4,World Environment Day,Health Care,Karnataka,Nec/ Not Mentioned,0.12,0.11,Directly by company,FY 2016-17,Bangalore International Airport Limited
,Grand Total (INR Cr.),,,,4.1,0,,FY 2016-17,Bangalore International Airport Limited
1,Renovation Of Yerthiganahalli Govt. Higher Primary School,Environmental Sustainability,Karnataka,Bengaluru Rural,0.3,0.26,Nec/ Not mentioned,FY 2015-16,Bangalore International Airport Limited
2,"Road Safety Training Programme (Contract Taxi Drivers - Kiab, Approx. 2000 Drivers)",Health Care,Karnataka,Bengaluru Rural,0.1,0.07,Nec/ Not mentioned,FY 2015-16,Bangalore International Airport Limited
3,Airport Educational Tour For Ngo Kids,Nec/ Not Mentioned,Karnataka,Bengaluru Rural,0,0,Nec/ Not mentioned,FY 2015-16,Bangalore International Airport Limited
4,Construction And Renovation Of 5 Government Schools - Consultancy Services,Nec/ Not Mentioned,Karnataka,Bengaluru Rural,0.13,0.35,Nec/ Not mentioned,FY 2015-16,Bangalore International Airport Limited
5,Educational Books For Ngo Kids,Nec/ Not Mentioned,Karnataka,Bengaluru Rural,0.01,0.01,Nec/ Not mentioned,FY 2015-16,Bangalore International Airport Limited
6,Sponsorship Of Ngo - Differently Abled Person Skill Development,Nec/ Not Mentioned,Karnataka,Bengaluru Rural,0.01,0.01,Nec/ Not mentioned,FY 2015-16,Bangalore International Airport Limited
7,"Airport Visits, World Environment Day, Blood Donation Camp, Event Set-Up",Slum Area Development,Karnataka,Bengaluru Rural,0.02,0.02,Nec/ Not mentioned,FY 2015-16,Bangalore International Airport Limited
8,Swach Bharat Abhiyan - 9 Toilet Blocks,Nec/ Not Mentioned,Karnataka,Nec/ Not Mentioned,0.8,0.11,Nec/ Not mentioned,FY 2015-16,Bangalore International Airport Limited
9,Swachh Bharat Abhiyan ABCD\X83ABCD\X92ABCD\X86ABCD\X80\X99ABCD\X83ABCD\X80ABCDABCDABCDABCD\X82ABCDAB,Nec/ Not Mentioned,Karnataka,Nec/ Not Mentioned,0.34,0.35,Nec/ Not mentioned,FY 2015-16,Bangalore International Airport Limited
,Grand Total (INR Cr.),,,,1.71,0,,FY 2015-16,Bangalore International Airport Limited
1,,Nec/ Not Mentioned,Pan India,Nec/ Not Mentioned,0,0,Nec/ Not mentioned,FY 2014-15,Bangalore International Airport Limited
,Grand Total (INR Cr.),,,,0,0,,FY 2014-15,Bangalore International Airport Limited
1,Project Ujjawal Bhawishya,Education,Delhi,East Delhi,0,0.1,Other Implementing agencies,FY 2023-24,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
2,Project Ujjawal Bhawishya,Vocational Skills,Delhi,East Delhi,0,0.15,Other Implementing agencies,FY 2023-24,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
3,Project Cheer-Urja,Environmental Sustainability,Himachal Pradesh,Mandi,0,0.25,Other Implementing agencies,FY 2023-24,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
4,Project Saakaar,Vocational Skills,Jharkhand,Godda,0,0.09,Other Implementing agencies,FY 2023-24,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
5,Project Prajwal,Education,Karnataka,Chamarajanagara,0,0.11,Other Implementing agencies,FY 2023-24,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
6,Project Prajwal,Education,Karnataka,Mysuru,0,0.11,Other Implementing agencies,FY 2023-24,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
7,Project Sanrakshan,Agro Forestry,Karnataka,Nec/ Not Mentioned,0,0.25,Other Implementing agencies,FY 2023-24,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
8,Project Saakaar,Vocational Skills,Kerala,Wayanad,0,0.11,Other Implementing agencies,FY 2023-24,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
9,Project Saakaar,Vocational Skills,Odisha,Sambalpur,0,0.1,Other Implementing agencies,FY 2023-24,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
10,Project Drishti,Health Care,West Bengal,Nec/ Not Mentioned,0,0.19,Other Implementing agencies,FY 2023-24,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
,Grand Total (INR Cr.),,,,0,0,,FY 2023-24,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
1,Project Ujjwal Bhawishya,Education,Delhi,East Delhi,0,0.25,Other Implementing agencies,FY 2022-23,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
2,Project Cheer-Urja,Environmental Sustainability,Himachal Pradesh,Mandi,0,0.25,Other Implementing agencies,FY 2022-23,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
3,Project Prajwal,Education,Karnataka,Nec/ Not Mentioned,0,0.22,Other Implementing agencies,FY 2022-23,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
4,Project Sanrakshan,Environmental Sustainability,Karnataka,Nec/ Not Mentioned,0,0.39,Other Implementing agencies,FY 2022-23,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
5,Project Garv,Special Education,Pan India,Nec/ Not Mentioned,0,0.4,Other Implementing agencies,FY 2022-23,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
6,Project Saakaar,Vocational Skills,Pan India,Nec/ Not Mentioned,0,0.29,Other Implementing agencies,FY 2022-23,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
,Grand Total (INR Cr.),,,,0,0,,FY 2022-23,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
1,Ujjwal Bhawishya,Vocational Skills,Delhi,East Delhi,0,0.29,Other implementing agencies,FY 2021-22,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
2,Jalashay,Environmental Sustainability,Gujarat,Patan,0,0.32,Other implementing agencies,FY 2021-22,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
3,Unnati,Vocational Skills,Haryana,Gurugram,0,0.28,Other implementing agencies,FY 2021-22,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
4,Prajwal,Education,Karnataka,Nec/ Not Mentioned,0,0.2,Other implementing agencies,FY 2021-22,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
5,Sanjeevani,Health Care,Maharashtra,Raigad,0,0.11,Other implementing agencies,FY 2021-22,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
6,Saakaar,Vocational Skills,Pan India,Nec/ Not Mentioned,0,0.35,Other implementing agencies,FY 2021-22,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
7,Jal Jeevan,Environmental Sustainability,Telangana,Medak,0,0.32,Other implementing agencies,FY 2021-22,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
8,Covid-19 Asha,Health Care,West Bengal,Kolkata,0,0.2,Other implementing agencies,FY 2021-22,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
,Grand Total (INR Cr.),,,,0,0,,FY 2021-22,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
1,Project Ujjwal Bhawishya - I,Education,Delhi,East Delhi,0.17,0.17,Other implementing agencies,FY 2020-21,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
2,Project Ujjwal Bhawishya ?\\X1Ax1A Ii,Education,Delhi,East Delhi,0.09,0.09,Other implementing agencies,FY 2020-21,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
3,Project Covid 19 - Asha,Health Care,Delhi,South Delhi,0.05,0.05,Other implementing agencies,FY 2020-21,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
4,Project Jalashay,Environmental Sustainability,Gujarat,Patan,0.25,0.25,Other implementing agencies,FY 2020-21,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
5,Project Unnati ?\\X1Ax1A Ii,Education,Haryana,Gurugram,0.29,0.29,Other implementing agencies,FY 2020-21,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
6,Project Covid 19 - Asha,Health Care,Karnataka,Bengaluru Urban,0.05,0.05,Other implementing agencies,FY 2020-21,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
7,Project Saakaar Iii,Vocational Skills,Kerala,Wayanad,0.06,0.06,Other implementing agencies,FY 2020-21,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
8,Project Saakaar - I,Vocational Skills,Odisha,Ganjam,0.15,0.15,Other implementing agencies,FY 2020-21,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
9,Project Saakaar Ii,Vocational Skills,Odisha,Sambalpur,0.12,0.12,Other implementing agencies,FY 2020-21,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
10,Project Jal Jeevan,Environmental Sustainability,Telangana,Medak,0.15,0.15,Other implementing agencies,FY 2020-21,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
11,,Nec/ Not Mentioned,Uttar Pradesh,Gautam Buddha Nagar,0,0,Nec/ Not mentioned,FY 2020-21,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
,Grand Total (INR Cr.),,,,1.38,0,,FY 2020-21,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
1,Project Umeed,Health Care,Chandigarh,Chandigarh,0.04,0.04,Other implementing agencies,FY 2019-20,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited
